channel,fetched_at,source_url,external_product_id,brand_name,product_name,model_code,detail_url,thumbnail_url,feature_tags_json,offer_count,rating,review_count,order_count,ranking_rank,metadata_json
ajd,2026-03-27T05:00:16.167Z,https://www.ajd.co.kr/electronics/overview/2010-4020/ranking?tab=1,ajd:RWP70F15AN,삼성,삼성 2025 비스포크 AI 냉온정수기,RWP70F15AN,https://www.ajd.co.kr/electronics/overview/4020/detail/52378,https://image.ajd.kr/PRODUCT_CODE/2e516c34-6481-43e3-ba26-e0be44c3392a,"[""냉수"",""온수"",""정수""]",3,,0,,1,"{""totalScore"":95.3,""reviewCount"":0,""textBadges"":[""위생기능 170위""],""specifications"":{""제품유형"":""데스크형"",""정수타입"":""직수형"",""필터종류"":""중공사막"",""필터개수"":""2개"",""편의기능"":""12개"",""살균부위"":""직수관"",""직수관 재질"":""스테인리스"",""분리세척"":""O"",""정량출수"":""O"",""온수온도조절"":""O""},""scoreBreakdown"":{""정수성능"":96,""위생관리"":95.7,""편의기능"":100,""렌탈료"":90},""detailSn"":52378,""lowerCategorySn"":4020,""detailAverageScore"":98.8,""recommendLabel"":""강력추천! 아정당렌탈 단독 혜택!""}"
ajd,2026-03-27T05:00:16.167Z,https://www.ajd.co.kr/electronics/overview/2010-4020/ranking?tab=1,ajd:CP-ABS100G,쿠쿠,쿠쿠 STEAM 100도씨 끓인물 정수기 (냉온정),CP-ABS100G,https://www.ajd.co.kr/electronics/overview/4020/detail/2864,https://image.ajd.kr/PRODUCT_CODE/630a9a0a-d5c6-4956-b96c-338ac28b8f9f,"[""냉수"",""온수"",""정수"",""살균수""]",6,,582,,2,"{""totalScore"":94.6,""reviewCount"":582,""textBadges"":[""위생기능 1위""],""specifications"":{""제품유형"":""데스크형"",""정수타입"":""직수형"",""필터종류"":""나노필터"",""필터개수"":""2개"",""편의기능"":""11개"",""살균부위"":""냉수관, 직수관, 코크"",""직수관 재질"":""PP"",""분리세척"":""X"",""정량출수"":""O"",""온수온도조절"":""O""},""scoreBreakdown"":{""정수성능"":100,""위생관리"":96,""편의기능"":100,""렌탈료"":80},""detailSn"":2864,""lowerCategorySn"":4020,""detailAverageScore"":94.6,""recommendLabel"":null}"
ajd,2026-03-27T05:00:16.167Z,https://www.ajd.co.kr/electronics/overview/2010-4020/ranking?tab=1,ajd:WU923A_오브제,LG전자,LG 퓨리케어 듀얼 STS 정수기 오브제컬렉션 (냉온정),WU923A_오브제,https://www.ajd.co.kr/electronics/overview/4020/detail/42950,https://image.ajd.kr/PRODUCT_CODE/a8329508-1f66-488f-8838-75e1d1b12571,"[""냉수"",""온수"",""정수""]",1,,44,,3,"{""totalScore"":93,""reviewCount"":44,""textBadges"":[""위생기능 4위""],""specifications"":{""제품유형"":""-"",""정수타입"":""직수형"",""필터종류"":""중공사막"",""필터개수"":""2개"",""편의기능"":""8개"",""살균부위"":""직수관, 코크"",""직수관 재질"":""스테인리스"",""분리세척"":""X"",""정량출수"":""O"",""온수온도조절"":""O""},""scoreBreakdown"":{""정수성능"":84,""위생관리"":98,""편의기능"":90,""렌탈료"":100},""detailSn"":42950,""lowerCategorySn"":4020}"
ajd,2026-03-27T05:00:16.167Z,https://www.ajd.co.kr/electronics/overview/2010-4020/ranking?tab=1,ajd:WD120M,LG전자,LG 퓨리케어 오브제컬렉션 라이트온 정수기 (정수전용),WD120M,https://www.ajd.co.kr/electronics/overview/4020/detail/42953,https://image.ajd.kr/PRODUCT_CODE/41a87ee6-b19d-4b76-996a-e9dd7dc995fd,"[""정수""]",4,,15,,4,"{""totalScore"":92.3,""reviewCount"":15,""textBadges"":[""위생기능 7위""],""specifications"":{""제품유형"":""데스크형"",""정수타입"":""직수형"",""필터종류"":""중공사막"",""필터개수"":""2개"",""편의기능"":""7개"",""살균부위"":""코크, 직수관"",""직수관 재질"":""스테인리스"",""분리세척"":""X"",""정량출수"":""O"",""온수온도조절"":""X""},""scoreBreakdown"":{""정수성능"":84,""위생관리"":96,""편의기능"":90,""렌탈료"":100},""detailSn"":42953,""lowerCategorySn"":4020,""detailAverageScore"":92.3,""recommendLabel"":null}"
ajd,2026-03-27T05:00:16.167Z,https://www.ajd.co.kr/electronics/overview/2010-4020/ranking?tab=1,ajd:WU523A_오브제,LG전자,LG 퓨리케어 빌트인 정수기 오브제 (냉온정),WU523A_오브제,https://www.ajd.co.kr/electronics/overview/4020/detail/42949,https://image.ajd.kr/PRODUCT_CODE/e221a392-5267-4759-b676-76251f18600c,"[""냉수"",""온수"",""정수""]",4,,31,,5,"{""totalScore"":92.3,""reviewCount"":31,""textBadges"":[""위생기능 8위""],""specifications"":{""제품유형"":""언더싱크"",""정수타입"":""직수형"",""필터종류"":""중공사막"",""필터개수"":""2개"",""편의기능"":""9개"",""살균부위"":""직수관, 코크"",""직수관 재질"":""스테인리스"",""분리세척"":""X"",""정량출수"":""O"",""온수온도조절"":""O""},""scoreBreakdown"":{""정수성능"":84,""위생관리"":96,""편의기능"":90,""렌탈료"":100},""detailSn"":42949,""lowerCategorySn"":4020,""detailAverageScore"":92.3,""recommendLabel"":null}"
ajd,2026-03-27T05:00:16.167Z,https://www.ajd.co.kr/electronics/overview/2010-4020/ranking?tab=1,ajd:WU923AS,LG전자,LG 퓨리케어 빌트인 듀얼 정수기 (냉온정),WU923AS,https://www.ajd.co.kr/electronics/overview/4020/detail/2712,https://image.ajd.kr/PRODUCT_CODE/0fa78031-aadb-4cc1-bcbd-dff7003faabb,"[""정수"",""냉수"",""온수"",""살균수""]",6,,115,,6,"{""totalScore"":92.3,""reviewCount"":115,""textBadges"":[""위생기능 10위""],""specifications"":{""제품유형"":""언더싱크"",""정수타입"":""직수형"",""필터종류"":""중공사막"",""필터개수"":""2개"",""편의기능"":""7개"",""살균부위"":""직수관, 코크"",""직수관 재질"":""스테인리스"",""분리세척"":""X"",""정량출수"":""O"",""온수온도조절"":""X""},""scoreBreakdown"":{""정수성능"":84,""위생관리"":96,""편의기능"":90,""렌탈료"":100},""detailSn"":2712,""lowerCategorySn"":4020,""detailAverageScore"":92.3,""recommendLabel"":""★1년동안 1만원 할인 프로모션 적용!""}"
ajd,2026-03-27T05:00:16.167Z,https://www.ajd.co.kr/electronics/overview/2010-4020/ranking?tab=1,ajd:WP-50C90621N,청호나이스,청호나이스 뉴 러블리트리 냉온정수기,WP-50C90621N,https://www.ajd.co.kr/electronics/overview/4020/detail/43934,https://image.ajd.kr/PRODUCT_CODE/44c75f7d-5a3e-4091-bb28-2c8e9e1bac1c,"[""냉수"",""온수"",""정수""]",6,,18,,7,"{""totalScore"":91.3,""reviewCount"":18,""textBadges"":[""위생기능 11위""],""specifications"":{""제품유형"":""데스크형"",""정수타입"":""직수형"",""필터종류"":""나노필터"",""필터개수"":""2개"",""편의기능"":""13개"",""살균부위"":""직수관, 코크"",""직수관 재질"":""PP"",""분리세척"":""O"",""정량출수"":""O"",""온수온도조절"":""O""},""scoreBreakdown"":{""정수성능"":96,""위생관리"":90,""편의기능"":100,""렌탈료"":80},""detailSn"":43934,""lowerCategorySn"":4020,""detailAverageScore"":91.3,""recommendLabel"":null}"
ajd,2026-03-27T05:00:16.167Z,https://www.ajd.co.kr/electronics/overview/2010-4020/ranking?tab=1,ajd:CP-AMS100,쿠쿠,쿠쿠 인스퓨어 MINI100 초소형 냉온정수기 (냉온정),CP-AMS100,https://www.ajd.co.kr/electronics/overview/4020/detail/51697,https://image.ajd.kr/PRODUCT_CODE/a3ffefad-9cf4-4d6a-88ea-587841962963,"[""냉수"",""온수"",""정수""]",8,,54,,8,"{""totalScore"":91.1,""reviewCount"":54,""textBadges"":[""위생기능 140위""],""specifications"":{""제품유형"":""데스크형"",""정수타입"":""직수형"",""필터종류"":""나노필터"",""필터개수"":""2개"",""편의기능"":""13개"",""살균부위"":""코크, 직수관"",""직수관 재질"":""PP"",""분리세척"":""O"",""정량출수"":""O"",""온수온도조절"":""O""},""scoreBreakdown"":{""정수성능"":100,""위생관리"":86,""편의기능"":100,""렌탈료"":80},""detailSn"":51697,""lowerCategorySn"":4020,""detailAverageScore"":93.2,""recommendLabel"":null}"
ajd,2026-03-27T05:00:16.167Z,https://www.ajd.co.kr/electronics/overview/2010-4020/ranking?tab=1,ajd:CP-X501HW,쿠쿠,쿠쿠 인스퓨어 슬림 냉온정수기 2.3L (하프형),CP-X501HW,https://www.ajd.co.kr/electronics/overview/4020/detail/2808,https://image.ajd.kr/PRODUCT_CODE/16ee246a-eb9a-4988-a12e-6c987da71401,"[""정수"",""냉수"",""온수""]",2,,12,,9,"{""totalScore"":89.6,""reviewCount"":12,""textBadges"":[""위생기능 15위""],""specifications"":{""제품유형"":""데스크형"",""정수타입"":""저수조형"",""필터종류"":""나노필터"",""필터개수"":""4개"",""편의기능"":""5개"",""살균부위"":""직수관, 코크"",""저수조 재질"":""-"",""분리세척"":""O"",""정량출수"":""X"",""온수온도조절"":""O""},""scoreBreakdown"":{""정수성능"":94,""위생관리"":84,""편의기능"":80,""렌탈료"":100},""detailSn"":2808,""lowerCategorySn"":4020,""detailAverageScore"":89.6,""recommendLabel"":null}"
ajd,2026-03-27T05:00:16.167Z,https://www.ajd.co.kr/electronics/overview/2010-4020/ranking?tab=1,ajd:WU823AS,LG전자,LG 퓨리케어 듀얼 정수기 (냉정),WU823AS,https://www.ajd.co.kr/electronics/overview/4020/detail/3052,https://image.ajd.kr/PRODUCT_CODE/c502bb73-5543-49fb-adca-7672381d6d38,"[""정수"",""냉수"",""살균수""]",3,,29,,10,"{""totalScore"":89.5,""reviewCount"":29,""textBadges"":[""위생기능 17위""],""specifications"":{""제품유형"":""언더싱크"",""정수타입"":""직수형"",""필터종류"":""중공사막"",""필터개수"":""2개"",""편의기능"":""9개"",""살균부위"":""직수관, 코크"",""직수관 재질"":""스테인리스"",""분리세척"":""X"",""정량출수"":""O"",""온수온도조절"":""O""},""scoreBreakdown"":{""정수성능"":83,""위생관리"":96,""편의기능"":100,""렌탈료"":80},""detailSn"":3052,""lowerCategorySn"":4020,""detailAverageScore"":89.5,""recommendLabel"":null}"
