channel,fetched_at,source_url,external_product_id,external_offer_id,brand_name,product_name,model_code,product_detail_url,offer_url,public_monthly_fee,card_applied_monthly_fee,contract_term_months,management_type,promo_duration_months,post_promo_monthly_fee,support_pricing_model,support_amount,support_amount_min,support_amount_max,rating,review_count,order_count,ranking_rank,feature_tags_json,metadata_json
ajd,2026-03-27T05:00:16.167Z,https://www.ajd.co.kr/electronics/overview/2010-4020/ranking?tab=1,ajd:RWP70F15AN,ajd:52378:92424,삼성,삼성 2025 비스포크 AI 냉온정수기,RWP70F15AN,https://www.ajd.co.kr/electronics/overview/4020/detail/52378,https://www.ajd.co.kr/electronics/overview/4020/detail/52378,56200,43200,36,self,,,hidden,,,,,0,,1,"[""냉수"",""온수"",""정수""]","{""productMetadata"":{""totalScore"":95.3,""reviewCount"":0,""textBadges"":[""위생기능 170위""],""specifications"":{""제품유형"":""데스크형"",""정수타입"":""직수형"",""필터종류"":""중공사막"",""필터개수"":""2개"",""편의기능"":""12개"",""살균부위"":""직수관"",""직수관 재질"":""스테인리스"",""분리세척"":""O"",""정량출수"":""O"",""온수온도조절"":""O""},""scoreBreakdown"":{""정수성능"":96,""위생관리"":95.7,""편의기능"":100,""렌탈료"":90},""detailSn"":52378,""lowerCategorySn"":4020,""detailAverageScore"":98.8,""recommendLabel"":""강력추천! 아정당렌탈 단독 혜택!""},""offerMetadata"":{""rankingRank"":1,""benefitEvidence"":""not_exposed_in_detail"",""managementCycle"":""필터포함 및 A/S무상"",""companyName"":""아정당렌탈"",""installCharge"":0,""rawManagementType"":""sys:productConfig:managementType:none"",""cardDiscountAmount"":13000}}"
ajd,2026-03-27T05:00:16.167Z,https://www.ajd.co.kr/electronics/overview/2010-4020/ranking?tab=1,ajd:RWP70F15AN,ajd:52378:92425,삼성,삼성 2025 비스포크 AI 냉온정수기,RWP70F15AN,https://www.ajd.co.kr/electronics/overview/4020/detail/52378,https://www.ajd.co.kr/electronics/overview/4020/detail/52378,42900,29900,48,self,,,hidden,,,,,0,,1,"[""냉수"",""온수"",""정수""]","{""productMetadata"":{""totalScore"":95.3,""reviewCount"":0,""textBadges"":[""위생기능 170위""],""specifications"":{""제품유형"":""데스크형"",""정수타입"":""직수형"",""필터종류"":""중공사막"",""필터개수"":""2개"",""편의기능"":""12개"",""살균부위"":""직수관"",""직수관 재질"":""스테인리스"",""분리세척"":""O"",""정량출수"":""O"",""온수온도조절"":""O""},""scoreBreakdown"":{""정수성능"":96,""위생관리"":95.7,""편의기능"":100,""렌탈료"":90},""detailSn"":52378,""lowerCategorySn"":4020,""detailAverageScore"":98.8,""recommendLabel"":""강력추천! 아정당렌탈 단독 혜택!""},""offerMetadata"":{""rankingRank"":1,""benefitEvidence"":""not_exposed_in_detail"",""managementCycle"":""필터포함 및 A/S무상"",""companyName"":""아정당렌탈"",""installCharge"":0,""rawManagementType"":""sys:productConfig:managementType:none"",""cardDiscountAmount"":13000}}"
ajd,2026-03-27T05:00:16.167Z,https://www.ajd.co.kr/electronics/overview/2010-4020/ranking?tab=1,ajd:RWP70F15AN,ajd:52378:92426,삼성,삼성 2025 비스포크 AI 냉온정수기,RWP70F15AN,https://www.ajd.co.kr/electronics/overview/4020/detail/52378,https://www.ajd.co.kr/electronics/overview/4020/detail/52378,34900,21900,60,self,,,hidden,,,,,0,,1,"[""냉수"",""온수"",""정수""]","{""productMetadata"":{""totalScore"":95.3,""reviewCount"":0,""textBadges"":[""위생기능 170위""],""specifications"":{""제품유형"":""데스크형"",""정수타입"":""직수형"",""필터종류"":""중공사막"",""필터개수"":""2개"",""편의기능"":""12개"",""살균부위"":""직수관"",""직수관 재질"":""스테인리스"",""분리세척"":""O"",""정량출수"":""O"",""온수온도조절"":""O""},""scoreBreakdown"":{""정수성능"":96,""위생관리"":95.7,""편의기능"":100,""렌탈료"":90},""detailSn"":52378,""lowerCategorySn"":4020,""detailAverageScore"":98.8,""recommendLabel"":""강력추천! 아정당렌탈 단독 혜택!""},""offerMetadata"":{""rankingRank"":1,""benefitEvidence"":""not_exposed_in_detail"",""managementCycle"":""필터포함 및 A/S무상"",""companyName"":""아정당렌탈"",""installCharge"":0,""rawManagementType"":""sys:productConfig:managementType:none"",""cardDiscountAmount"":13000}}"
ajd,2026-03-27T05:00:16.167Z,https://www.ajd.co.kr/electronics/overview/2010-4020/ranking?tab=1,ajd:CP-ABS100G,ajd:2864:55641,쿠쿠,쿠쿠 STEAM 100도씨 끓인물 정수기 (냉온정),CP-ABS100G,https://www.ajd.co.kr/electronics/overview/4020/detail/2864,https://www.ajd.co.kr/electronics/overview/4020/detail/2864,38900,13900,36,visit,,,hidden,,,,,582,,2,"[""냉수"",""온수"",""정수"",""살균수""]","{""productMetadata"":{""totalScore"":94.6,""reviewCount"":582,""textBadges"":[""위생기능 1위""],""specifications"":{""제품유형"":""데스크형"",""정수타입"":""직수형"",""필터종류"":""나노필터"",""필터개수"":""2개"",""편의기능"":""11개"",""살균부위"":""냉수관, 직수관, 코크"",""직수관 재질"":""PP"",""분리세척"":""X"",""정량출수"":""O"",""온수온도조절"":""O""},""scoreBreakdown"":{""정수성능"":100,""위생관리"":96,""편의기능"":100,""렌탈료"":80},""detailSn"":2864,""lowerCategorySn"":4020,""detailAverageScore"":94.6,""recommendLabel"":null},""offerMetadata"":{""rankingRank"":2,""benefitEvidence"":""not_exposed_in_detail"",""managementCycle"":""6M반값_4개월관리"",""companyName"":""쿠쿠"",""installCharge"":null,""rawManagementType"":""sys:productConfig:managementType:visit"",""cardDiscountAmount"":25000}}"
ajd,2026-03-27T05:00:16.167Z,https://www.ajd.co.kr/electronics/overview/2010-4020/ranking?tab=1,ajd:CP-ABS100G,ajd:2864:55642,쿠쿠,쿠쿠 STEAM 100도씨 끓인물 정수기 (냉온정),CP-ABS100G,https://www.ajd.co.kr/electronics/overview/4020/detail/2864,https://www.ajd.co.kr/electronics/overview/4020/detail/2864,35900,10900,36,self,,,hidden,,,,,582,,2,"[""냉수"",""온수"",""정수"",""살균수""]","{""productMetadata"":{""totalScore"":94.6,""reviewCount"":582,""textBadges"":[""위생기능 1위""],""specifications"":{""제품유형"":""데스크형"",""정수타입"":""직수형"",""필터종류"":""나노필터"",""필터개수"":""2개"",""편의기능"":""11개"",""살균부위"":""냉수관, 직수관, 코크"",""직수관 재질"":""PP"",""분리세척"":""X"",""정량출수"":""O"",""온수온도조절"":""O""},""scoreBreakdown"":{""정수성능"":100,""위생관리"":96,""편의기능"":100,""렌탈료"":80},""detailSn"":2864,""lowerCategorySn"":4020,""detailAverageScore"":94.6,""recommendLabel"":null},""offerMetadata"":{""rankingRank"":2,""benefitEvidence"":""not_exposed_in_detail"",""managementCycle"":""6M반값_4개월필터발송 12개월관리"",""companyName"":""쿠쿠"",""installCharge"":null,""rawManagementType"":""sys:productConfig:managementType:self"",""cardDiscountAmount"":25000}}"
ajd,2026-03-27T05:00:16.167Z,https://www.ajd.co.kr/electronics/overview/2010-4020/ranking?tab=1,ajd:CP-ABS100G,ajd:2864:84542,쿠쿠,쿠쿠 STEAM 100도씨 끓인물 정수기 (냉온정),CP-ABS100G,https://www.ajd.co.kr/electronics/overview/4020/detail/2864,https://www.ajd.co.kr/electronics/overview/4020/detail/2864,32900,7900,60,visit,,,hidden,,,,,582,,2,"[""냉수"",""온수"",""정수"",""살균수""]","{""productMetadata"":{""totalScore"":94.6,""reviewCount"":582,""textBadges"":[""위생기능 1위""],""specifications"":{""제품유형"":""데스크형"",""정수타입"":""직수형"",""필터종류"":""나노필터"",""필터개수"":""2개"",""편의기능"":""11개"",""살균부위"":""냉수관, 직수관, 코크"",""직수관 재질"":""PP"",""분리세척"":""X"",""정량출수"":""O"",""온수온도조절"":""O""},""scoreBreakdown"":{""정수성능"":100,""위생관리"":96,""편의기능"":100,""렌탈료"":80},""detailSn"":2864,""lowerCategorySn"":4020,""detailAverageScore"":94.6,""recommendLabel"":null},""offerMetadata"":{""rankingRank"":2,""benefitEvidence"":""not_exposed_in_detail"",""managementCycle"":""6M반값_4개월관리"",""companyName"":""쿠쿠"",""installCharge"":null,""rawManagementType"":""sys:productConfig:managementType:visit"",""cardDiscountAmount"":25000}}"
ajd,2026-03-27T05:00:16.167Z,https://www.ajd.co.kr/electronics/overview/2010-4020/ranking?tab=1,ajd:CP-ABS100G,ajd:2864:84543,쿠쿠,쿠쿠 STEAM 100도씨 끓인물 정수기 (냉온정),CP-ABS100G,https://www.ajd.co.kr/electronics/overview/4020/detail/2864,https://www.ajd.co.kr/electronics/overview/4020/detail/2864,30900,5900,60,self,,,hidden,,,,,582,,2,"[""냉수"",""온수"",""정수"",""살균수""]","{""productMetadata"":{""totalScore"":94.6,""reviewCount"":582,""textBadges"":[""위생기능 1위""],""specifications"":{""제품유형"":""데스크형"",""정수타입"":""직수형"",""필터종류"":""나노필터"",""필터개수"":""2개"",""편의기능"":""11개"",""살균부위"":""냉수관, 직수관, 코크"",""직수관 재질"":""PP"",""분리세척"":""X"",""정량출수"":""O"",""온수온도조절"":""O""},""scoreBreakdown"":{""정수성능"":100,""위생관리"":96,""편의기능"":100,""렌탈료"":80},""detailSn"":2864,""lowerCategorySn"":4020,""detailAverageScore"":94.6,""recommendLabel"":null},""offerMetadata"":{""rankingRank"":2,""benefitEvidence"":""not_exposed_in_detail"",""managementCycle"":""6M반값_4개월필터발송 12개월관리"",""companyName"":""쿠쿠"",""installCharge"":null,""rawManagementType"":""sys:productConfig:managementType:self"",""cardDiscountAmount"":25000}}"
ajd,2026-03-27T05:00:16.167Z,https://www.ajd.co.kr/electronics/overview/2010-4020/ranking?tab=1,ajd:CP-ABS100G,ajd:2864:84550,쿠쿠,쿠쿠 STEAM 100도씨 끓인물 정수기 (냉온정),CP-ABS100G,https://www.ajd.co.kr/electronics/overview/4020/detail/2864,https://www.ajd.co.kr/electronics/overview/4020/detail/2864,30900,5900,72,visit,,,hidden,,,,,582,,2,"[""냉수"",""온수"",""정수"",""살균수""]","{""productMetadata"":{""totalScore"":94.6,""reviewCount"":582,""textBadges"":[""위생기능 1위""],""specifications"":{""제품유형"":""데스크형"",""정수타입"":""직수형"",""필터종류"":""나노필터"",""필터개수"":""2개"",""편의기능"":""11개"",""살균부위"":""냉수관, 직수관, 코크"",""직수관 재질"":""PP"",""분리세척"":""X"",""정량출수"":""O"",""온수온도조절"":""O""},""scoreBreakdown"":{""정수성능"":100,""위생관리"":96,""편의기능"":100,""렌탈료"":80},""detailSn"":2864,""lowerCategorySn"":4020,""detailAverageScore"":94.6,""recommendLabel"":null},""offerMetadata"":{""rankingRank"":2,""benefitEvidence"":""not_exposed_in_detail"",""managementCycle"":""12M반값_4개월관리"",""companyName"":""쿠쿠"",""installCharge"":null,""rawManagementType"":""sys:productConfig:managementType:visit"",""cardDiscountAmount"":25000}}"
ajd,2026-03-27T05:00:16.167Z,https://www.ajd.co.kr/electronics/overview/2010-4020/ranking?tab=1,ajd:CP-ABS100G,ajd:2864:84551,쿠쿠,쿠쿠 STEAM 100도씨 끓인물 정수기 (냉온정),CP-ABS100G,https://www.ajd.co.kr/electronics/overview/4020/detail/2864,https://www.ajd.co.kr/electronics/overview/4020/detail/2864,28900,3900,72,self,,,hidden,,,,,582,,2,"[""냉수"",""온수"",""정수"",""살균수""]","{""productMetadata"":{""totalScore"":94.6,""reviewCount"":582,""textBadges"":[""위생기능 1위""],""specifications"":{""제품유형"":""데스크형"",""정수타입"":""직수형"",""필터종류"":""나노필터"",""필터개수"":""2개"",""편의기능"":""11개"",""살균부위"":""냉수관, 직수관, 코크"",""직수관 재질"":""PP"",""분리세척"":""X"",""정량출수"":""O"",""온수온도조절"":""O""},""scoreBreakdown"":{""정수성능"":100,""위생관리"":96,""편의기능"":100,""렌탈료"":80},""detailSn"":2864,""lowerCategorySn"":4020,""detailAverageScore"":94.6,""recommendLabel"":null},""offerMetadata"":{""rankingRank"":2,""benefitEvidence"":""not_exposed_in_detail"",""managementCycle"":""12M반값_4개월필터발송 12개월관리"",""companyName"":""쿠쿠"",""installCharge"":null,""rawManagementType"":""sys:productConfig:managementType:self"",""cardDiscountAmount"":25000}}"
ajd,2026-03-27T05:00:16.167Z,https://www.ajd.co.kr/electronics/overview/2010-4020/ranking?tab=1,ajd:WU923A_오브제,ajd:WU923A_오브제:rank:3,LG전자,LG 퓨리케어 듀얼 STS 정수기 오브제컬렉션 (냉온정),WU923A_오브제,https://www.ajd.co.kr/electronics/overview/4020/detail/42950,https://www.ajd.co.kr/electronics/overview/4020/detail/42950,36900,6900,,,,,hidden,,,,,44,,3,"[""냉수"",""온수"",""정수""]","{""productMetadata"":{""totalScore"":93,""reviewCount"":44,""textBadges"":[""위생기능 4위""],""specifications"":{""제품유형"":""-"",""정수타입"":""직수형"",""필터종류"":""중공사막"",""필터개수"":""2개"",""편의기능"":""8개"",""살균부위"":""직수관, 코크"",""직수관 재질"":""스테인리스"",""분리세척"":""X"",""정량출수"":""O"",""온수온도조절"":""O""},""scoreBreakdown"":{""정수성능"":84,""위생관리"":98,""편의기능"":90,""렌탈료"":100},""detailSn"":42950,""lowerCategorySn"":4020},""offerMetadata"":{""rankingRank"":3,""benefitEvidence"":""not_exposed_in_ranking""}}"
